name,city,state,country,address,Longitude,Latitude,Municipalities,Website
BE-war Artillery Wood,Ieper, Vlaanderen, Belgium,"4 Poezelstraat Ieper, West-Vlaanderen, Vlaanderen, 8904 Belgium",2.8719629153443,50.89957293409, West-Vlaanderen,
BE-war Aeroplane Cemetery,Ieper, Vlaanderen, Belgium,"278 Zonnebeekseweg Ieper, West-Vlaanderen, Vlaanderen, 8900 Belgium",2.9309443730164,50.86413582701, West-Vlaanderen,
BE-6464 Baileux,Chimay, Wallonie, Belgium,"10 Rue des Blanches Terres Chimay, Hainaut, Wallonie, 6464 Belgium",4.370722,50.029194, Hainaut,
BE-6461 Virelles,Chimay, Wallonie, Belgium,"Rue Lapeau Chimay, Hainaut, Wallonie, 6461 Belgium",4.3299439656067,50.06369615145, Hainaut,
BE-war Adinkerke Military Cemetery,De Panne, Vlaanderen, Belgium,"27 Kromfortstraat De Panne, West-Vlaanderen, Vlaanderen, 8660 Belgium",2.6024707288361,51.070896292247, West-Vlaanderen,
BE-6560 Erquelinnes,Erquelinnes, Wallonie, Belgium,"18 Rue Triboullette Erquelinnes, Hainaut, Wallonie, 6560 Belgium",4.1311385423279,50.312928513773, Hainaut,
BE-war Adinkerke Churchyard Extension,De Panne, Vlaanderen, Belgium,"Heldenweg De Panne, West-Vlaanderen, Vlaanderen, 8660 Belgium",2.6015992711639,51.075576295656, West-Vlaanderen,
BE-war Adegem Canadian War Cemetery,Maldegem, Vlaanderen, Belgium,"46 Prins Boudewijnlaan Maldegem, Oost-Vlaanderen, Vlaanderen, 9991 Belgium",3.505254635582,51.202023361217, Oost-Vlaanderen,
BE-MOERE (Gistel) Cemetery St.-Niklaaschurch,Gistel, Vlaanderen, Belgium,"153 Provincieweg Gistel, West-Vlaanderen, Vlaanderen, 8470 Belgium",2.955666,51.122471, West-Vlaanderen,
BE-9980 Sint-Jan-in-Eremo (kerk),Sint-Laureins, Vlaanderen, Belgium,"2 Hogestraat Sint-Laureins, Oost-Vlaanderen, Vlaanderen Belgium",3.5805470846558,51.268176297827, Oost-Vlaanderen,
BE-6464 Forges,Chimay, Wallonie, Belgium,"274 Rue du Cimeti�re Chimay, Hainaut, Wallonie, 6464 Belgium",4.3188563558197,50.026967569983, Hainaut,
BE-6460 Robechies,Chimay, Wallonie, Belgium,"Rue Hurtebise Chimay, Hainaut, Wallonie, 6460 Belgium",4.2734462109756,50.073805242515, Hainaut,
